first_dose_type_norm,year_month,age_at_cutoff,total_recipients
Astra-Zeneca,2021-02,100,15
Astra-Zeneca,2021-02,101,11
Astra-Zeneca,2021-02,102,4
Astra-Zeneca,2021-02,104,1
Astra-Zeneca,2021-02,106,1
Astra-Zeneca,2021-02,17,1
Astra-Zeneca,2021-02,18,2
Astra-Zeneca,2021-02,19,1
Astra-Zeneca,2021-02,20,21
Astra-Zeneca,2021-02,21,21
Astra-Zeneca,2021-02,22,52
Astra-Zeneca,2021-02,23,63
Astra-Zeneca,2021-02,24,72
Astra-Zeneca,2021-02,25,80
Astra-Zeneca,2021-02,26,101
Astra-Zeneca,2021-02,27,132
Astra-Zeneca,2021-02,28,125
Astra-Zeneca,2021-02,29,152
Astra-Zeneca,2021-02,30,132
Astra-Zeneca,2021-02,31,124
Astra-Zeneca,2021-02,32,146
Astra-Zeneca,2021-02,33,157
Astra-Zeneca,2021-02,34,139
Astra-Zeneca,2021-02,35,171
Astra-Zeneca,2021-02,36,178
Astra-Zeneca,2021-02,37,167
Astra-Zeneca,2021-02,38,190
Astra-Zeneca,2021-02,39,225
Astra-Zeneca,2021-02,40,229
Astra-Zeneca,2021-02,41,242
Astra-Zeneca,2021-02,42,266
Astra-Zeneca,2021-02,43,278
Astra-Zeneca,2021-02,44,290
Astra-Zeneca,2021-02,45,337
Astra-Zeneca,2021-02,46,348
Astra-Zeneca,2021-02,47,365
Astra-Zeneca,2021-02,48,372
Astra-Zeneca,2021-02,49,337
Astra-Zeneca,2021-02,50,318
Astra-Zeneca,2021-02,51,316
Astra-Zeneca,2021-02,52,315
Astra-Zeneca,2021-02,53,296
Astra-Zeneca,2021-02,54,274
Astra-Zeneca,2021-02,55,299
Astra-Zeneca,2021-02,56,310
Astra-Zeneca,2021-02,57,326
Astra-Zeneca,2021-02,58,345
Astra-Zeneca,2021-02,59,303
Astra-Zeneca,2021-02,60,280
Astra-Zeneca,2021-02,61,263
Astra-Zeneca,2021-02,62,260
Astra-Zeneca,2021-02,63,213
Astra-Zeneca,2021-02,64,220
Astra-Zeneca,2021-02,65,189
Astra-Zeneca,2021-02,66,172
Astra-Zeneca,2021-02,67,187
Astra-Zeneca,2021-02,68,197
Astra-Zeneca,2021-02,69,183
Astra-Zeneca,2021-02,70,151
Astra-Zeneca,2021-02,71,197
Astra-Zeneca,2021-02,72,228
Astra-Zeneca,2021-02,73,249
Astra-Zeneca,2021-02,74,237
Astra-Zeneca,2021-02,75,291
Astra-Zeneca,2021-02,76,254
Astra-Zeneca,2021-02,77,274
Astra-Zeneca,2021-02,78,253
Astra-Zeneca,2021-02,79,282
Astra-Zeneca,2021-02,80,299
Astra-Zeneca,2021-02,81,682
Astra-Zeneca,2021-02,82,1853
Astra-Zeneca,2021-02,83,1643
Astra-Zeneca,2021-02,84,1471
Astra-Zeneca,2021-02,85,1285
Astra-Zeneca,2021-02,86,1115
Astra-Zeneca,2021-02,87,974
Astra-Zeneca,2021-02,88,836
Astra-Zeneca,2021-02,89,671
Astra-Zeneca,2021-02,90,537
Astra-Zeneca,2021-02,91,387
Astra-Zeneca,2021-02,92,346
Astra-Zeneca,2021-02,93,259
Astra-Zeneca,2021-02,94,182
Astra-Zeneca,2021-02,95,156
Astra-Zeneca,2021-02,96,94
Astra-Zeneca,2021-02,97,58
