first_dose_type_norm,age_at_cutoff,total_recipients
Astra-Zeneca,100,78
Astra-Zeneca,101,47
Astra-Zeneca,102,15
Astra-Zeneca,103,7
Astra-Zeneca,104,6
Astra-Zeneca,105,1
Astra-Zeneca,106,1
Astra-Zeneca,108,1
Astra-Zeneca,17,4
Astra-Zeneca,18,19
Astra-Zeneca,19,90
Astra-Zeneca,20,188
Astra-Zeneca,21,301
Astra-Zeneca,22,410
Astra-Zeneca,23,453
Astra-Zeneca,24,505
Astra-Zeneca,25,542
Astra-Zeneca,26,653
Astra-Zeneca,27,678
Astra-Zeneca,28,753
Astra-Zeneca,29,828
Astra-Zeneca,30,815
Astra-Zeneca,31,936
Astra-Zeneca,32,969
Astra-Zeneca,33,1031
Astra-Zeneca,34,1069
Astra-Zeneca,35,1134
Astra-Zeneca,36,1304
Astra-Zeneca,37,1299
Astra-Zeneca,38,1444
Astra-Zeneca,39,1643
Astra-Zeneca,40,1728
Astra-Zeneca,41,1806
Astra-Zeneca,42,2165
Astra-Zeneca,43,2539
Astra-Zeneca,44,2765
Astra-Zeneca,45,2945
Astra-Zeneca,46,3232
Astra-Zeneca,47,3345
Astra-Zeneca,48,3544
Astra-Zeneca,49,3610
Astra-Zeneca,50,3275
Astra-Zeneca,51,3456
Astra-Zeneca,52,3521
Astra-Zeneca,53,3611
Astra-Zeneca,54,3575
Astra-Zeneca,55,3881
Astra-Zeneca,56,4106
Astra-Zeneca,57,4821
Astra-Zeneca,58,5308
Astra-Zeneca,59,5405
Astra-Zeneca,60,5183
Astra-Zeneca,61,5506
Astra-Zeneca,62,6152
Astra-Zeneca,63,6455
Astra-Zeneca,64,7421
Astra-Zeneca,65,8243
Astra-Zeneca,66,10028
Astra-Zeneca,67,11156
Astra-Zeneca,68,11960
Astra-Zeneca,69,13353
Astra-Zeneca,70,14009
Astra-Zeneca,71,17758
Astra-Zeneca,72,20390
Astra-Zeneca,73,20696
Astra-Zeneca,74,21511
Astra-Zeneca,75,22108
Astra-Zeneca,76,20798
Astra-Zeneca,77,16822
Astra-Zeneca,78,17619
Astra-Zeneca,79,16744
Astra-Zeneca,80,14199
Astra-Zeneca,81,13574
Astra-Zeneca,82,9604
Astra-Zeneca,83,7763
Astra-Zeneca,84,6710
Astra-Zeneca,85,5923
Astra-Zeneca,86,5311
Astra-Zeneca,87,4709
Astra-Zeneca,88,4168
Astra-Zeneca,89,3574
Astra-Zeneca,90,3093
Astra-Zeneca,91,2367
Astra-Zeneca,92,2071
Astra-Zeneca,93,1460
Astra-Zeneca,94,1062
Astra-Zeneca,95,789
Astra-Zeneca,96,525
Astra-Zeneca,97,370
Astra-Zeneca,98,253
Astra-Zeneca,99,151
Comirnaty,0,6
Comirnaty,1,9
Comirnaty,10,9496
Comirnaty,100,380
Comirnaty,101,219
Comirnaty,102,112
Comirnaty,103,43
Comirnaty,104,17
Comirnaty,105,11
Comirnaty,106,3
Comirnaty,107,6
Comirnaty,109,1
Comirnaty,11,11304
Comirnaty,110,1
Comirnaty,12,16889
Comirnaty,13,42960
Comirnaty,14,52388
Comirnaty,15,55135
Comirnaty,16,58503
Comirnaty,17,62504
Comirnaty,18,63749
Comirnaty,19,62222
Comirnaty,2,8
Comirnaty,20,59905
Comirnaty,21,58022
Comirnaty,22,57129
Comirnaty,23,54911
Comirnaty,24,55140
Comirnaty,25,55001
Comirnaty,26,54152
Comirnaty,27,56903
Comirnaty,28,61668
Comirnaty,29,68478
Comirnaty,3,9
Comirnaty,30,68681
Comirnaty,31,73470
Comirnaty,32,75436
Comirnaty,33,74448
Comirnaty,34,77235
Comirnaty,35,76721
Comirnaty,36,78208
Comirnaty,37,80023
Comirnaty,38,80958
Comirnaty,39,81942
Comirnaty,4,10
Comirnaty,40,84813
Comirnaty,41,87479
Comirnaty,42,94400
Comirnaty,43,104972
Comirnaty,44,109569
Comirnaty,45,112339
Comirnaty,46,116153
Comirnaty,47,119731
Comirnaty,48,120900
Comirnaty,49,113054
Comirnaty,5,438
Comirnaty,50,102423
Comirnaty,51,96835
Comirnaty,52,92948
Comirnaty,53,88483
Comirnaty,54,83833
Comirnaty,55,83572
Comirnaty,56,84835
Comirnaty,57,88242
Comirnaty,58,92063
Comirnaty,59,88733
Comirnaty,6,4106
Comirnaty,60,79129
Comirnaty,61,76992
Comirnaty,62,75014
Comirnaty,63,74369
Comirnaty,64,80167
Comirnaty,65,85765
Comirnaty,66,87587
Comirnaty,67,87711
Comirnaty,68,86819
Comirnaty,69,85416
Comirnaty,7,5249
Comirnaty,70,85330
Comirnaty,71,80006
Comirnaty,72,73968
Comirnaty,73,70386
Comirnaty,74,70398
Comirnaty,75,71016
Comirnaty,76,65898
Comirnaty,77,50911
Comirnaty,78,51058
Comirnaty,79,47350
Comirnaty,8,6492
Comirnaty,80,40242
Comirnaty,81,36603
Comirnaty,82,38723
Comirnaty,83,31887
Comirnaty,84,28271
Comirnaty,85,24599
Comirnaty,86,22178
Comirnaty,87,19888
Comirnaty,88,17408
Comirnaty,89,15185
Comirnaty,9,7316
Comirnaty,90,13363
Comirnaty,91,10856
Comirnaty,92,8677
Comirnaty,93,6300
Comirnaty,94,4704
Comirnaty,95,3308
