dose_year,dose_month,comirnaty,janssen,novavax,spikevax,astrazeneca,others
2020,12,100,0,0,0,0,0
2021,01,97.24,0,0,2.75,0,0
2021,02,85.27,0,0,8.01,6.73,0
2021,03,68.53,0.01,0,12.21,19.24,0
2021,04,77.75,0.44,0,11.33,10.47,0
2021,05,83.35,1.58,0,7.75,7.32,0
2021,06,83.84,1.76,0,7.4,7,0
2021,07,85.5,2.44,0,6.82,5.23,0.01
2021,08,88.87,5.41,0,3.52,2.19,0.01
2021,09,82.09,10.36,0,7,0.53,0.02
2021,10,82.61,10.11,0,7.12,0.15,0.01
2021,11,81.23,8.66,0,10.09,0.02,0
2021,12,86.68,0.84,0,12.47,0.01,0
2022,01,87.27,0.27,0,12.45,0.01,0
2022,02,89.42,0.28,0,10.29,0,0
2022,03,85.55,0.41,3.4,10.64,0.01,0
2022,04,86.49,0.37,4.38,8.75,0,0
2022,05,88.65,0.52,2.37,8.45,0.01,0.01
2022,06,89.32,0.53,2.1,8.04,0,0.01
2022,07,90.86,0.29,0.77,8.08,0,0
2022,08,90.71,0.18,0.45,8.65,0,0
2022,09,95.18,0.11,0.21,4.5,0,0
2022,10,97.7,0.04,0.12,2.14,0,0
2022,11,98.04,0.06,0.16,1.74,0,0
2022,12,97.94,0.15,0.25,1.66,0,0
2023,01,96.08,0.92,0.1,2.9,0,0
2023,02,95.35,1.62,0,3.03,0,0
2023,03,94.62,2.19,0,3.17,0,0.02
2023,04,91.3,4.76,0,3.94,0,0
2023,05,93.65,2.82,0,3.53,0,0
2023,06,94.01,1.65,0,4.34,0,0
2023,07,96.32,1.84,0,1.84,0,0
2023,08,97.65,1.17,0,1.17,0,0
2023,09,99.74,0.01,0,0.25,0,0
2023,10,99.9,0,0,0.1,0,0
2023,11,99.86,0,0,0.14,0,0
2023,12,99.88,0,0.08,0.04,0,0
2024,01,97.84,0.01,2.13,0.02,0,0
2024,02,97.5,0,2.42,0.08,0,0
2024,03,96.61,0,3.39,0,0,0
