dose_type_norm,lot,total_recipients
Astra-Zeneca,,43620
Astra-Zeneca,1F1020A,1
Astra-Zeneca,1K082A,4
Astra-Zeneca,210102,207
Astra-Zeneca,210105,226
Astra-Zeneca,210155,134
Astra-Zeneca,21C10-05,1
Astra-Zeneca,21C17-05,1
Astra-Zeneca,300042698,1
Astra-Zeneca,3000493,1
Astra-Zeneca,3000496,2
Astra-Zeneca,3001531,3
Astra-Zeneca,3001939,1
Astra-Zeneca,3001943,15
Astra-Zeneca,3002339,1
Astra-Zeneca,3002916,6
Astra-Zeneca,3002920,2
Astra-Zeneca,3003601,1
Astra-Zeneca,3003606,2
Astra-Zeneca,3003659,1
Astra-Zeneca,3004218,2
Astra-Zeneca,3004493,1
Astra-Zeneca,3005242,4
Astra-Zeneca,31100TB,1
Astra-Zeneca,ABV2856,17968
Astra-Zeneca,ABV4678,34759
Astra-Zeneca,ABV5297,9258
Astra-Zeneca,ABV5811,58599
Astra-Zeneca,ABV6096,32941
Astra-Zeneca,ABV7764,9391
Astra-Zeneca,ABV8139,14989
Astra-Zeneca,ABW1277,52278
Astra-Zeneca,ABW2187,94290
Astra-Zeneca,ABW2953,5871
Astra-Zeneca,ABW4801,30896
Astra-Zeneca,ABW9941,11798
Astra-Zeneca,ABX3502,27958
Astra-Zeneca,ABX3519,334
Astra-Zeneca,ABX4044,1041
Astra-Zeneca,ABX5105,531
Astra-Zeneca,ABY1328,236
Astra-Zeneca,ABY4055,5
Astra-Zeneca,EJ6790,2
Astra-Zeneca,EJ6797,11
Astra-Zeneca,EK9788,4
Astra-Zeneca,EP2163,5
Astra-Zeneca,EP2166,5
Astra-Zeneca,ET1831,11
Astra-Zeneca,ET3620,3
Astra-Zeneca,EW2239,5
Astra-Zeneca,EX0893,1
Astra-Zeneca,EY3014,2
Astra-Zeneca,EY7015,1
Astra-Zeneca,FD6840,1
Astra-Zeneca,FE1248,1
Astra-Zeneca,FG4509,3
Astra-Zeneca,FM7533,1
Astra-Zeneca,GD6798,1
Astra-Zeneca,M74839V,1
Astra-Zeneca,XD955,6
Astra-Zeneca,XD974,4
Astra-Zeneca,XD986,1
Comirnaty,,626327
Comirnaty,000023A,1
Comirnaty,000039A,5
Comirnaty,000058A,11
Comirnaty,000090A,2
Comirnaty,000139A,1
Comirnaty,007G21A,1
Comirnaty,090F21A,31
Comirnaty,150001,96
Comirnaty,1F1005A,39680
Comirnaty,1F1006A,34763
Comirnaty,1F1020A,63423
Comirnaty,1F1045A,1321
Comirnaty,1F1053A,145
Comirnaty,1K082A,1185
Comirnaty,210102,12
Comirnaty,210155,2
Comirnaty,216040,33
Comirnaty,216041,2
Comirnaty,216046,3
Comirnaty,21C10-05,1
Comirnaty,21C11-05,1
Comirnaty,21C16-05,3
Comirnaty,21C17-05,21
Comirnaty,300042698,14
Comirnaty,300042721,21
