lot,dose_type_norm,total_recipients
,Astra-Zeneca,43620
,Comirnaty,626327
,Janssen,38438
,Novavax,363
,Others,372
,Spikevax,86130
000023A,Comirnaty,1
000023A,Spikevax,98
000039A,Comirnaty,5
000039A,Janssen,2
000039A,Spikevax,1238
000058A,Comirnaty,11
000058A,Spikevax,1728
000090A,Comirnaty,2
000090A,Spikevax,99
000139A,Comirnaty,1
000139A,Spikevax,203
000187A,Novavax,1
000187A,Spikevax,112
007G21A,Comirnaty,1
007G21A,Spikevax,867
090F21A,Comirnaty,31
090F21A,Janssen,9
090F21A,Spikevax,2105
150001,Comirnaty,96
150001,Janssen,1
1F1005A,Comirnaty,39680
1F1005A,Janssen,10
1F1005A,Spikevax,2
1F1006A,Comirnaty,34763
1F1006A,Janssen,16
1F1006A,Spikevax,7
1F1020A,Astra-Zeneca,1
1F1020A,Comirnaty,63423
1F1020A,Janssen,44
1F1020A,Spikevax,10
1F1045A,Comirnaty,1321
1F1045A,Novavax,2
1F1045A,Spikevax,2
1K082A,Astra-Zeneca,4
1K082A,Comirnaty,1185
1K082A,Janssen,4
1K082A,Novavax,1
1K082A,Others,4
1K082A,Spikevax,8
210102,Astra-Zeneca,207
210102,Comirnaty,12
210102,Janssen,6
210102,Spikevax,4
210105,Astra-Zeneca,226
210105,Janssen,14
210155,Astra-Zeneca,134
210155,Comirnaty,2
216040,Comirnaty,33
216040,Novavax,83
216040,Spikevax,1367
216041,Comirnaty,2
216041,Janssen,1
216041,Spikevax,1090
216046,Comirnaty,3
216046,Novavax,2
216046,Spikevax,895
21C10-05,Astra-Zeneca,1
21C10-05,Comirnaty,1
21C10-05,Janssen,13235
21C10-05,Spikevax,7
21C11-05,Comirnaty,1
21C11-05,Janssen,11089
21C16-05,Comirnaty,3
21C16-05,Janssen,9520
21C17-05,Astra-Zeneca,1
21C17-05,Comirnaty,21
21C17-05,Janssen,9005
21C17-05,Spikevax,10
300042698,Astra-Zeneca,1
300042698,Comirnaty,14
300042698,Spikevax,4848
300042721,Comirnaty,21
300042721,Spikevax,15789
3000493,Astra-Zeneca,1
3000493,Comirnaty,58
3000493,Spikevax,24744
3000496,Astra-Zeneca,2
3000496,Comirnaty,46
3000496,Spikevax,33166
3001531,Astra-Zeneca,3
3001531,Comirnaty,37
3001531,Spikevax,33427
3001659,Comirnaty,38
3001659,Spikevax,32837
