dose_year,dose_month,comirnaty,janssen,novavax,spikevax,astrazeneca,others
2020,12,11879,0,0,0,0,0
2021,01,221831,0,0,7418,0,6
2021,02,133587,0,0,24094,26160,7
2021,03,487021,84,0,101723,205133,29
2021,04,746968,6471,0,72835,150847,37
2021,05,1520062,34422,0,112230,59588,43
2021,06,1017866,51401,0,105820,4043,91
2021,07,505161,51115,0,23309,875,52
2021,08,217662,60286,0,12677,407,33
2021,09,85432,33757,0,9780,271,28
2021,10,93898,44853,0,9155,80,26
2021,11,292660,106903,0,23974,20,16
2021,12,127499,15532,0,13547,13,3
2022,01,88435,4040,0,6527,8,2
2022,02,14130,876,0,1164,4,0
2022,03,4934,411,2740,563,0,0
2022,04,3717,256,992,341,0,1
2022,05,3286,292,561,248,0,0
2022,06,1886,185,252,163,0,0
2022,07,2026,236,361,199,1,1
2022,08,2166,232,215,224,0,1
2022,09,1644,181,128,156,0,3
2022,10,1393,111,91,124,0,0
2022,11,926,106,56,59,0,0
2022,12,374,60,26,38,0,0
2023,01,528,185,3,48,0,0
2023,02,302,111,0,26,0,0
2023,03,282,91,0,12,0,0
2023,04,146,75,0,8,0,0
2023,05,94,24,0,4,0,0
2023,06,32,8,0,0,0,0
2023,07,10,3,0,0,0,0
2023,08,18,4,0,0,0,0
2023,09,102,1,0,2,0,0
2023,10,915,0,0,1,0,0
2023,11,710,0,0,1,0,0
2023,12,285,0,0,1,0,0
2024,01,169,2,1,1,0,0
2024,02,52,0,1,0,0,0
2024,03,7,0,1,0,0,0
