dose_year,dose_month,dose_type_norm,lot,total_recipients
2020,12,Comirnaty,,824
2020,12,Comirnaty,1F1020A,1
2020,12,Comirnaty,EJ6134,10
2020,12,Comirnaty,EJ6790,3
2020,12,Comirnaty,EJ6796,10140
2020,12,Comirnaty,EJ6796 ,191
2020,12,Comirnaty,EJ6796  ,23
2020,12,Comirnaty,EJ6797,39
2020,12,Comirnaty,EJ6797 ,1
2020,12,Comirnaty,EL1484,638
2020,12,Comirnaty,EL1491,7
2020,12,Comirnaty,ET1831,1
2020,12,Comirnaty,ET3620,1
2021,01,Comirnaty,,35190
2021,01,Comirnaty,090F21A,1
2021,01,Comirnaty,1F1005A,3
2021,01,Comirnaty,1F1006A,2
2021,01,Comirnaty,1F1020A,10
2021,01,Comirnaty,300042698,14
2021,01,Comirnaty,36660TB,1
2021,01,Comirnaty,EJ6134,13520
2021,01,Comirnaty,EJ6134 ,21
2021,01,Comirnaty,EJ6790,45
2021,01,Comirnaty,EJ6796,123
2021,01,Comirnaty,EJ6796 ,6
2021,01,Comirnaty,EJ6797,86269
2021,01,Comirnaty,EJ6797 ,19
2021,01,Comirnaty,EK9788,822
2021,01,Comirnaty,EL0725,80
2021,01,Comirnaty,EL1484,20216
2021,01,Comirnaty,EL1484 ,2
2021,01,Comirnaty,EL1484    ,26
2021,01,Comirnaty,EL1491,65243
2021,01,Comirnaty,EL1491 ,143
2021,01,Comirnaty,EL1491  ,1
2021,01,Comirnaty,EP2163,12
2021,01,Comirnaty,EP2166,5
2021,01,Comirnaty,EP2166  ,1
2021,01,Comirnaty,ET1831,5
2021,01,Comirnaty,ET3620,1
2021,01,Comirnaty,ET6956,1
2021,01,Comirnaty,EW2239,4
2021,01,Comirnaty,EW2246,1
2021,01,Comirnaty,EW4815,1
2021,01,Comirnaty,EX0893,1
2021,01,Comirnaty,EX3599,1
2021,01,Comirnaty,EY3014,2
2021,01,Comirnaty,FC2473,1
2021,01,Comirnaty,FD1921,2
2021,01,Comirnaty,FD6840,2
2021,01,Comirnaty,FE1248,2
2021,01,Comirnaty,FE2296,2
2021,01,Comirnaty,FE6208,1
2021,01,Comirnaty,FE7051,2
2021,01,Comirnaty,FF0680,2
2021,01,Comirnaty,FF2832,4
2021,01,Comirnaty,FF3318,1
2021,01,Comirnaty,FG3739,3
2021,01,Comirnaty,FG4509,1
2021,01,Comirnaty,FK0594,2
2021,01,Comirnaty,FL4213,1
2021,01,Comirnaty,FM7533,6
2021,01,Comirnaty,GH9722,1
2021,01,Comirnaty,GK4367,1
2021,01,Comirnaty,PCA0002,2
2021,01,Comirnaty,PCB0001,1
2021,01,Comirnaty,SCTR1,2
2021,01,Others,,6
2021,01,Spikevax,,3090
2021,01,Spikevax,1K082A,1
2021,01,Spikevax,300042698,4311
2021,01,Spikevax,300042721,5
2021,01,Spikevax,3000493,2
2021,01,Spikevax,3001659,1
2021,01,Spikevax,3001939,2
2021,01,Spikevax,3002339,1
2021,01,Spikevax,3002546,1
2021,01,Spikevax,3003659,1
2021,01,Spikevax,3004493,1
2021,01,Spikevax,3004738,1
2021,01,Spikevax,EJ6134,1
2021,02,Astra-Zeneca,,2971
2021,02,Astra-Zeneca,210102,1
2021,02,Astra-Zeneca,300042698,1
2021,02,Astra-Zeneca,3004218,1
2021,02,Astra-Zeneca,ABV2856,9422
2021,02,Astra-Zeneca,ABV2856 ,309
2021,02,Astra-Zeneca,ABV4678,9124
2021,02,Astra-Zeneca,ABV4678 ,14
2021,02,Astra-Zeneca,ABV5811,4222
2021,02,Astra-Zeneca,ABV6096,6
2021,02,Astra-Zeneca,ABV8139,4
2021,02,Astra-Zeneca,ABW1277,2
2021,02,Astra-Zeneca,ABW2187,14
2021,02,Astra-Zeneca,ABW4801,28
2021,02,Astra-Zeneca,ABX3502,1
2021,02,Astra-Zeneca,ABX3519,2
2021,02,Astra-Zeneca,ABX4044,24
2021,02,Astra-Zeneca,ABX5105,1
2021,02,Astra-Zeneca,ABY1328,1
2021,02,Astra-Zeneca,EJ6790,2
2021,02,Astra-Zeneca,EK9788,4
2021,02,Astra-Zeneca,EP2163,4
2021,02,Astra-Zeneca,ET3620,1
2021,02,Astra-Zeneca,FG4509,1
2021,02,Comirnaty,,16437
2021,02,Comirnaty,1F1005A,1
2021,02,Comirnaty,1F1006A,1
2021,02,Comirnaty,1F1020A,3
2021,02,Comirnaty,300042721,11
2021,02,Comirnaty,3004738,1
2021,02,Comirnaty,ABV2856,12
2021,02,Comirnaty,ABV4678,9
2021,02,Comirnaty,ABV5811,12
2021,02,Comirnaty,ABW2187,1
2021,02,Comirnaty,ABW4801,1
2021,02,Comirnaty,EJ6134,2387
2021,02,Comirnaty,EJ6790,27985
2021,02,Comirnaty,EJ6790 ,5
2021,02,Comirnaty,EJ6796,4
2021,02,Comirnaty,EJ6797,6604
2021,02,Comirnaty,EJ6797 ,81
2021,02,Comirnaty,EK9788,12960
2021,02,Comirnaty,EK9788 ,514
2021,02,Comirnaty,EK9788  ,1
2021,02,Comirnaty,EL0725,17145
2021,02,Comirnaty,EL0725 ,7
2021,02,Comirnaty,EL1484,8
2021,02,Comirnaty,EL1491,603
2021,02,Comirnaty,EL1491 ,1
2021,02,Comirnaty,EP2163,38329
2021,02,Comirnaty,EP2163 ,5
2021,02,Comirnaty,EP2163                                                          ,1
2021,02,Comirnaty,EP2166,10205
2021,02,Comirnaty,EP2166 ,157
2021,02,Comirnaty,EP2166  ,3
2021,02,Comirnaty,ET1831,30
2021,02,Comirnaty,ET3620,17
2021,02,Comirnaty,ET7205,4
2021,02,Comirnaty,EW2239,1
2021,02,Comirnaty,EW4815,2
2021,02,Comirnaty,EX3599,1
2021,02,Comirnaty,EY3014,1
2021,02,Comirnaty,EY7015,3
2021,02,Comirnaty,FA4598,2
2021,02,Comirnaty,FC0681,2
2021,02,Comirnaty,FC2473,1
2021,02,Comirnaty,FD0168,2
2021,02,Comirnaty,FD1921,2
2021,02,Comirnaty,FD4555,1
2021,02,Comirnaty,FD6840,2
2021,02,Comirnaty,FE1248,1
2021,02,Comirnaty,FE7051,1
2021,02,Comirnaty,FF0680,1
2021,02,Comirnaty,FF2832,1
2021,02,Comirnaty,FL4213,1
2021,02,Comirnaty,FM7533,2
2021,02,Comirnaty,FM9088,1
2021,02,Comirnaty,FM9088 ,1
2021,02,Comirnaty,FP1972,2
2021,02,Comirnaty,FP8956,1
2021,02,Comirnaty,GH9722,3
2021,02,Comirnaty,GJ1988,1
2021,02,Comirnaty,PCA0002,2
2021,02,Comirnaty,PCB0001,2
2021,02,Comirnaty,SCTR1,2
2021,02,Others,,7
2021,02,Spikevax,,10629
2021,02,Spikevax,000058A,36
2021,02,Spikevax,000371A,2
2021,02,Spikevax,090F21A,1
2021,02,Spikevax,1F1006A,2
2021,02,Spikevax,1F1020A,2
