dose_year,dose_month,comirnaty,janssen,novavax,spikevax,astrazeneca,others
2020,12,100,0,0,0,0,0
2021,01,96.76,0,0,3.24,0,0
2021,02,72.66,0,0,13.11,14.23,0
2021,03,61.34,0.01,0,12.81,25.84,0
2021,04,76.44,0.66,0,7.45,15.44,0
2021,05,88.05,1.99,0,6.5,3.45,0
2021,06,86.32,4.36,0,8.97,0.34,0.01
2021,07,87.02,8.81,0,4.02,0.15,0.01
2021,08,74.78,20.71,0,4.36,0.14,0.01
2021,09,66.09,26.11,0,7.57,0.21,0.02
2021,10,63.44,30.3,0,6.19,0.05,0.02
2021,11,69.09,25.24,0,5.66,0,0
2021,12,81.42,9.92,0,8.65,0.01,0
2022,01,89.32,4.08,0,6.59,0.01,0
2022,02,87.36,5.42,0,7.2,0.02,0
2022,03,57.05,4.75,31.68,6.51,0,0
2022,04,70.04,4.82,18.69,6.43,0,0.02
2022,05,74.9,6.66,12.79,5.65,0,0
2022,06,75.86,7.44,10.14,6.56,0,0
2022,07,71.74,8.36,12.78,7.05,0.04,0.04
2022,08,76.32,8.17,7.58,7.89,0,0.04
2022,09,77.84,8.57,6.06,7.39,0,0.14
2022,10,81.04,6.46,5.29,7.21,0,0
2022,11,80.73,9.24,4.88,5.14,0,0
2022,12,75.1,12.05,5.22,7.63,0,0
2023,01,69.11,24.21,0.39,6.28,0,0
2023,02,68.79,25.28,0,5.92,0,0
2023,03,73.25,23.64,0,3.12,0,0
2023,04,63.76,32.75,0,3.49,0,0
2023,05,77.05,19.67,0,3.28,0,0
2023,06,80,20,0,0,0,0
2023,07,76.92,23.08,0,0,0,0
2023,08,81.82,18.18,0,0,0,0
2023,09,97.14,0.95,0,1.9,0,0
2023,10,99.89,0,0,0.11,0,0
2023,11,99.86,0,0,0.14,0,0
2023,12,99.65,0,0,0.35,0,0
2024,01,97.69,1.16,0.58,0.58,0,0
2024,02,98.11,0,1.89,0,0,0
2024,03,87.5,0,12.5,0,0,0
