age_at_cutoff,population
0,101684
1,112179
2,110602
3,112005
4,114470
5,115228
6,114153
7,112785
8,112303
9,109608
10,110630
11,110357
12,120383
13,122084
14,123559
15,119137
16,109415
17,103675
18,99151
19,95823
20,95318
21,94923
22,94872
23,93317
24,94833
25,95835
26,97013
27,103284
28,114396
29,128642
30,130208
31,138423
32,140425
33,139417
34,144697
35,143336
36,145487
37,148483
38,148589
39,148715
40,151499
41,152136
42,160190
43,176041
44,181279
45,183399
46,187770
47,190620
48,191878
49,179416
50,162382
51,152641
52,146161
53,140015
54,132768
55,132378
56,133333
57,137630
58,143148
59,137536
60,122884
61,118807
62,115627
63,113203
64,120778
65,128177
66,131350
67,131084
68,129841
69,128693
70,128406
71,126761
72,122176
73,115916
74,116317
75,117510
76,110078
77,84374
78,85031
79,79230
80,66545
81,60355
82,55661
83,45284
84,39976
85,34213
86,29968
87,26549
88,23271
89,19730
90,17209
91,13959
92,11331
93,8069
94,6051
95,4325
96,3002
97,2196
98,1388
99,1062
100,608
101,441
102,229
103,123
104,53
105,79
106,50
107,21
108,21
109,18
110,6
111,1
112,1
