year_birth,male_population,female_population,population
1910,0,1,1
1911,0,2,2
1912,2,7,9
1913,0,20,20
1914,4,24,28
1915,0,39,39
1916,35,41,76
1917,42,85,127
1918,32,88,120
1919,61,209,270
1920,116,482,598
1921,211,920,1131
1922,382,1414,1796
1923,581,2294,2875
1924,845,3077,3922
1925,1295,4162,5457
1926,1917,5666,7583
1927,2715,7396,10111
1928,3673,9616,13289
1929,4770,11771,16541
1930,6472,14941,21413
1931,7857,17202,25059
1932,9381,19758,29139
1933,10478,21243,31721
1934,11962,23295,35257
1935,13531,24901,38432
1936,14853,26920,41773
1937,16635,28933,45568
1938,19429,32176,51605
1939,21884,35233,57117
1940,26987,40927,67914
1941,29083,43305,72388
1942,32232,46432,78664
1943,38222,53657,91879
1944,41066,56718,97784
1945,40461,55453,95914
1946,53066,69379,122445
1947,57343,72716,130059
1948,57619,70511,128130
1949,57034,69392,126426
1950,60265,71695,131960
1951,62476,73740,136216
1952,63910,73371,137281
1953,64256,72260,136516
1954,64772,72182,136954
1955,65838,71864,137702
1956,66124,71283,137407
1957,65000,68711,133711
1958,61412,64246,125658
1959,58046,59043,117089
1960,59489,59632,119121
1961,60892,61256,122148
1962,63128,62747,125875
1963,70552,69808,140360
1964,74015,71982,145997
1965,71148,69081,140229
1966,68786,66703,135489
1967,68558,65772,134330
1968,68697,65838,134535
1969,72690,68963,141653
1970,75600,72128,147728
1971,78968,75075,154043
1972,84098,79592,163690
1973,93293,87407,180700
1974,99209,93908,193117
1975,98175,93529,191704
1976,97126,91612,188738
1977,94701,89545,184246
1978,93689,88319,182008
1979,91245,85505,176750
1980,83394,77357,160751
1981,78806,73707,152513
1982,78377,73512,151889
1983,77109,71846,148955
1984,77163,71727,148890
1985,76871,71837,148708
1986,75456,70190,145646
1987,74217,69266,143483
1988,74167,70619,144786
1989,71613,67891,139504
1990,72129,68329,140458
1991,71495,66935,138430
1992,67250,62928,130178
1993,66215,62334,128549
1994,58717,55560,114277
1995,53140,49953,103093
1996,49790,47005,96795
1997,49035,46574,95609
1998,48591,45930,94521
1999,47680,45334,93014
2000,48848,45548,94396
2001,48427,45944,94371
2002,48776,46110,94886
2003,48975,46354,95329
2004,50997,48051,99048
2005,53187,50521,103708
2006,56363,53080,109443
2007,60832,58330,119162
2008,63284,60292,123576
2009,62295,59800,122095
2010,61823,58591,120414
2011,56610,53772,110382
2012,56619,54023,110642
2013,56136,53488,109624
2014,57624,54709,112333
2015,57863,54952,112815
2016,58617,55571,114188
2017,59080,56184,115264
2018,58491,56014,114505
2019,57478,54573,112051
2020,56515,54116,110631
2021,57393,54804,112197
2022,52190,49486,101676
2023,2,6,8
